,Bird,City1-Latitude,City1-Longitude,City2-Latitude,City2-Longitude,City3-Latitude,City3-Longitude,City4-Latitude,City4-Longitude,City5-Latitude,City5-Longitude,City6-Latitude,City6-Longitude
43,Zosterops_lateralis,-45.0321923,168.661,-46.411879,168.3450668,-45.8740984,170.5035755,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
44,Aegithalos_concinnus,7.0026257,100.4577414,7.9366015,98.3529292,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
45,Bolborhynchus_lineola,-2.9023751,-78.9778385,-0.2201641,-78.5123274,-4.0528506,-79.8053425,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
46,Cardinalis_sinuatus,20.5954708,-100.3970593,21.1218598,-101.6825081,22.5000001,-100.4949145,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
47,"Carduelis_tristis, (Spinus_tristis)",33.5206824,-86.8024326,40.01669955,-83.02702575,33.7849591,-84.442163,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
48,Colius_colius,-33.0191604,27.8998573,-33.964444,22.459722,-29.861825,31.009909,-33.9617051,25.6207519,-33.928992,18.417396,46.3144754,11.0480288
49,Colius_striatus,-33.0191604,27.8998573,-33.964444,22.459722,-29.861825,31.009909,-33.9617051,25.6207519,-33.928992,18.417396,46.3144754,11.0480288
50,Columba_vitiensis,,,,,-8.6728675,121.6929173,,,-10.1632209,123.6017755,46.3144754,11.0480288
51,Columbina_inca,9.8642435,-83.9204377,9.9325427,-84.0795782,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
52,Corvus_corax,18.833333,-98,19.292545,-99.6569007,19.4326296,-99.1331785,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
53,Cyanocitta_cristata,26.1223084,-80.1433786,26.715364,-80.0532942,27.9477595,-82.458444,25.7741728,-80.19362,46.3144754,11.0480288,46.3144754,11.0480288
54,Cyanoramphus_auriceps,-45.0321923,168.661,-46.411879,168.3450668,-45.8740984,170.5035755,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
55,Dromaius_novaehollandiae,-31.9527121,115.8604796,-33.8548157,151.2164539,-34.9281805,138.5999312,-35.2975906,149.1012676,46.3144754,11.0480288,46.3144754,11.0480288
56,Ducula_bicolor,,,,,,,-10.1632209,123.6017755,46.3144754,11.0480288,46.3144754,11.0480288
57,Falco_rupicoloides,-33.0191604,27.8998573,-33.964444,22.459722,-33.9617051,25.6207519,-33.928992,18.417396,46.3144754,11.0480288,46.3144754,11.0480288
58,Fulica_atra,-45.0321923,168.661,-46.411879,168.3450668,-45.8740984,170.5035755,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
59,Tribonyx_mortierii,-42.8825088,147.3281233,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
60,Gymnophaps_albertisii,,,,,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
61,Lichenostomus_virescens,-38.1492813,144.3598269,-37.8142176,144.9631608,-41.4340813,147.1373496,-42.8825088,147.3281233,46.3144754,11.0480288,46.3144754,11.0480288
62,Lichmera_indistincta,-32.2851899,115.7426524,-31.9527121,115.8604796,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
63,Lullula_arborea,36.8117583,34.6292679,36.9863599,35.3252861,37.0628317,37.3792617,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
64,Phoeniculus_purpureus,-29.861825,31.009909,,,-33.0191604,27.8998573,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
65,Porphyrio_hochstetteri,-45.0321923,168.661,-46.411879,168.3450668,-45.8740984,170.5035755,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
66,Porzana_cinerea,-38.1492813,144.3598269,-37.8142176,144.9631608,-41.4340813,147.1373496,-42.8825088,147.3281233,46.3144754,11.0480288,46.3144754,11.0480288
67,Psittacula_krameri,-5.8951725,22.408589,-8.7351826,25.0032201,-10.9891601,26.7397418,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
68,Pycnonotus_sinensis,7.0026257,100.4577414,7.9366015,98.3529292,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
69,Spheniscus_humboldti,-6.25,-78.833333,-5.8647644,-77.0357666,-6.4877198,-76.3598708,-3.749365,-73.2444145,46.3144754,11.0480288,46.3144754,11.0480288
70,Aceros_plicatus,,,,,-8.6728675,121.6929173,,,-10.1632209,123.6017755,46.3144754,11.0480288
71,Anas_gracilis,-45.0321923,168.661,-46.411879,168.3450668,-45.8740984,170.5035755,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
72,Apteryx_owenii,-45.0321923,168.661,-46.411879,168.3450668,-45.8740984,170.5035755,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
73,Aulacorhynchus_prasinus,19.5892029,-99.019821,-17.3884445,-66.1595475,19.36376855,-98.9463136,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
74,Aythya_novaeseelandiae,-45.0321923,168.661,-46.411879,168.3450668,-45.8740984,170.5035755,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
75,Caloenas_nicobarica,,,,,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
76,Dacelo_novaeguineae,-38.1492813,144.3598269,-37.8142176,144.9631608,-41.4340813,147.1373496,-42.8825088,147.3281233,46.3144754,11.0480288,46.3144754,11.0480288
77,Ducula_pinon,,,,,-8.6728675,121.6929173,,,-10.1632209,123.6017755,46.3144754,11.0480288
78,Ducula_radiata,,,,,-8.6728675,121.6929173,,,-10.1632209,123.6017755,46.3144754,11.0480288
79,Gallinula_tenebrosa,-38.1492813,144.3598269,-37.8142176,144.9631608,-41.4340813,147.1373496,-42.8825088,147.3281233,46.3144754,11.0480288,46.3144754,11.0480288
80,Tibonyx_ventralis,-35.2975906,149.1012676,-38.1492813,144.3598269,-34.9281805,138.5999312,-37.8142176,144.9631608,46.3144754,11.0480288,46.3144754,11.0480288
81,Gallirallus_australis_hectori,-46.1323096,167.6907627,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
82,Gallirallus_philippensis_assimilis,-45.0321923,168.661,-46.411879,168.3450668,-45.8740984,170.5035755,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
83,Hymenolaimus_malacorhynchos,-45.0321923,168.661,-46.411879,168.3450668,-45.8740984,170.5035755,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
